j0,j1,j2,j3,j4,j5
-0.6381614843951624,-2.4580724875079554,-1.4735353628741663,-0.7418554464923304,-1.5885327498065394,-3.3015287558185022
-0.637885872517721,-2.4580004850970667,-1.4736912886248987,-0.7418435255633753,-1.5883892218219202,-3.3018279711352747
-0.6373470465289515,-2.4578807989703577,-1.4740026632892054,-0.741711441670553,-1.5885089079486292,-3.3023789564715784
-0.6371315161334437,-2.457784954701559,-1.474074665700094,-0.7416394392596644,-1.5885809103595179,-3.3026304880725306
-0.6369035879718226,-2.4577248732196253,-1.47426683107485,-0.7414835135089319,-1.5886767546283167,-3.302821938191549
-0.6366165320025843,-2.457701031361715,-1.4744227568255823,-0.7415674368487757,-1.5885327498065394,-3.303013626729147
-0.6362445990191858,-2.457580868397848,-1.4746869246112269,-0.7414477507220667,-1.5886285940753382,-3.3034208456622522
-0.6359928289996546,-2.457568947468893,-1.474818531666891,-0.741375748311178,-1.5886285940753382,-3.3036845366107386
-0.6358969847308558,-2.4575212637530726,-1.4749024550067347,-0.7412679831134241,-1.5887487570392054,-3.303840223942892
-0.6356576124774378,-2.457485024129049,-1.4750588575946253,-0.7413399855243128,-1.588616673146383,-3.3040555159198206
-0.6353462378131312,-2.4574134985553187,-1.4752023855792444,-0.7413161436664026,-1.5887606779681605,-3.3043552080737513
-0.6352384726153772,-2.457353417073385,-1.4752982298480433,-0.7411358992206019,-1.5886767546283167,-3.3044148127185267
-0.6351426283465784,-2.45736533800234,-1.475358788167135,-0.7411358992206019,-1.5888446013080042,-3.304558579121725
-0.6350224653827112,-2.4573171774493616,-1.4754064718829554,-0.7410758177386683,-1.5886767546283167,-3.304582420979635
-0.6348074118243616,-2.4572694937335413,-1.4754903952227991,-0.7411239782916468,-1.5888803640948694,-3.304774347935812
-0.6347950140582483,-2.4572933355914515,-1.4755266348468226,-0.7409198919879358,-1.5887005964862269,-3.3048222700702112
-0.6347711722003382,-2.457245651875631,-1.4755385557757776,-0.7410519758807581,-1.5888922850238245,-3.304906193410055
-0.6347115675555628,-2.457245651875631,-1.4755623976336878,-0.7408478895770472,-1.5887725988971155,-3.30494195619692
-0.634747330342428,-2.457245651875631,-1.4754903952227991,-0.7408602873431605,-1.5888326803790491,-3.304894034062521
-0.6347830931292933,-2.457233730946676,-1.4754903952227991,-0.7409680525409144,-1.588928524647848,-3.3048582712756556
-0.6347711722003382,-2.457245651875631,-1.475478474293844,-0.7409561316119593,-1.5889042059527796,-3.304894034062521
-0.6347711722003382,-2.457233730946676,-1.4755147139178675,-0.7409561316119593,-1.5888565222369593,-3.3048461119281214
